,episode_name,tv_show_name,imdb_ratings,runtime_in_mins,director,season
1990,The Cooper-Nowitzki Theorem,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 2 | Episode 6
1991,The Panty Piñata Polarization,The Big Bang Theory,8.8,21,Mark Cendrowski,Season 2 | Episode 7
1992,The Lizard-Spock Expansion,The Big Bang Theory,8.3,20,Mark Cendrowski,Season 2 | Episode 8
1993,The White Asparagus Triangulation,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 2 | Episode 9
1994,The Vartabedian Conundrum,The Big Bang Theory,7.9,21,Mark Cendrowski,Season 2 | Episode 10
1995,The Bath Item Gift Hypothesis,The Big Bang Theory,9.2,21,Mark Cendrowski,Season 2 | Episode 11
1996,The Killer Robot Instability,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 2 | Episode 12
1997,The Friendship Algorithm,The Big Bang Theory,8.2,21,Mark Cendrowski,Season 2 | Episode 13
1998,The Financial Permeability,The Big Bang Theory,8.2,21,Mark Cendrowski,Season 2 | Episode 14
1999,The Maternal Capacitance,The Big Bang Theory,9.0,21,Mark Cendrowski,Season 2 | Episode 15
2000,The Cushion Saturation,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 2 | Episode 16
2001,The Terminator Decoupling,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 2 | Episode 17
2002,The Work Song Nanocluster,The Big Bang Theory,8.3,20,Peter Chakos,Season 2 | Episode 18
2003,The Dead Hooker Juxtaposition,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 2 | Episode 19
2004,The Hofstadter Isotope,The Big Bang Theory,8.1,20,Mark Cendrowski,Season 2 | Episode 20
2005,The Vegas Renormalization,The Big Bang Theory,8.7,21,Mark Cendrowski,Season 2 | Episode 21
2006,The Classified Materials Turbulence,The Big Bang Theory,8.4,19,Mark Cendrowski,Season 2 | Episode 22
2007,The Monopolar Expedition,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 2 | Episode 23
2008,The Electric Can Opener Fluctuation,The Big Bang Theory,8.5,21,Mark Cendrowski,Season 3 | Episode 1
2009,The Jiminy Conjecture,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 3 | Episode 2
2010,The Gothowitz Deviation,The Big Bang Theory,8.3,20,Mark Cendrowski,Season 3 | Episode 3
2011,The Pirate Solution,The Big Bang Theory,8.2,30,Mark Cendrowski,Season 3 | Episode 4
2012,The Creepy Candy Coating Corollary,The Big Bang Theory,8.4,20,Mark Cendrowski,Season 3 | Episode 5
2013,The Cornhusker Vortex,The Big Bang Theory,7.7,20,Mark Cendrowski,Season 3 | Episode 6
2014,The Guitarist Amplification,The Big Bang Theory,8.0,20,Mark Cendrowski,Season 3 | Episode 7
2015,The Adhesive Duck Deficiency,The Big Bang Theory,9.0,21,Mark Cendrowski,Season 3 | Episode 8
2016,The Vengeance Formulation,The Big Bang Theory,8.5,19,Mark Cendrowski,Season 3 | Episode 9
2017,The Gorilla Experiment,The Big Bang Theory,8.6,21,Mark Cendrowski,Season 3 | Episode 10
2018,The Maternal Congruence,The Big Bang Theory,8.4,20,Mark Cendrowski,Season 3 | Episode 11
2019,The Psychic Vortex,The Big Bang Theory,8.5,20,Mark Cendrowski,Season 3 | Episode 12
2020,The Bozeman Reaction,The Big Bang Theory,8.2,20,Mark Cendrowski,Season 3 | Episode 13
2021,The Einstein Approximation,The Big Bang Theory,8.6,20,Mark Cendrowski,Season 3 | Episode 14
2022,The Large Hadron Collision,The Big Bang Theory,8.2,21,Mark Cendrowski,Season 3 | Episode 15
2023,The Excelsior Acquisition,The Big Bang Theory,8.4,21,Peter Chakos,Season 3 | Episode 16
2024,The Precious Fragmentation,The Big Bang Theory,8.6,20,Mark Cendrowski,Season 3 | Episode 17
2025,The Pants Alternative,The Big Bang Theory,8.6,21,Mark Cendrowski,Season 3 | Episode 18
2026,The Wheaton Recurrence,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 3 | Episode 19
2027,The Spaghetti Catalyst,The Big Bang Theory,8.3,20,Anthony Rich,Season 3 | Episode 20
2028,The Plimpton Stimulation,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 3 | Episode 21
2029,The Staircase Implementation,The Big Bang Theory,9.1,20,Mark Cendrowski,Season 3 | Episode 22
2030,The Lunar Excitation,The Big Bang Theory,8.7,20,Peter Chakos,Season 3 | Episode 23
2031,The Robotic Manipulation,The Big Bang Theory,8.8,21,Mark Cendrowski,Season 4 | Episode 1
2032,The Cruciferous Vegetable Amplification,The Big Bang Theory,8.5,21,Mark Cendrowski,Season 4 | Episode 2
2033,The Zazzy Substitution,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 4 | Episode 3
2034,The Hot Troll Deviation,The Big Bang Theory,8.2,20,Mark Cendrowski,Season 4 | Episode 4
2035,The Desperation Emanation,The Big Bang Theory,7.9,21,Mark Cendrowski,Season 4 | Episode 5
2036,The Irish Pub Formulation,The Big Bang Theory,8.2,25,Mark Cendrowski,Season 4 | Episode 6
2037,The Apology Insufficiency,The Big Bang Theory,8.2,21,Mark Cendrowski,Season 4 | Episode 7
2038,The 21-Second Excitation,The Big Bang Theory,8.3,19,Mark Cendrowski,Season 4 | Episode 8
2039,The Boyfriend Complexity,The Big Bang Theory,8.6,21,Mark Cendrowski,Season 4 | Episode 9
2040,The Alien Parasite Hypothesis,The Big Bang Theory,7.9,20,Mark Cendrowski,Season 4 | Episode 10
2041,The Justice League Recombination,The Big Bang Theory,8.8,20,Mark Cendrowski,Season 4 | Episode 11
2042,The Bus Pants Utilization,The Big Bang Theory,7.8,21,Mark Cendrowski,Season 4 | Episode 12
2043,The Love Car Displacement,The Big Bang Theory,8.4,21,Anthony Rich,Season 4 | Episode 13
2044,The Thespian Catalyst,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 4 | Episode 14
2045,The Benefactor Factor,The Big Bang Theory,7.9,20,Mark Cendrowski,Season 4 | Episode 15
2046,The Cohabitation Formulation,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 4 | Episode 16
2047,The Toast Derivation,The Big Bang Theory,8.1,22,Mark Cendrowski,Season 4 | Episode 17
2048,The Prestidigitation Approximation,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 4 | Episode 18
2049,The Zarnecki Incursion,The Big Bang Theory,8.2,23,Peter Chakos,Season 4 | Episode 19
2050,The Herb Garden Germination,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 4 | Episode 20
2051,The Agreement Dissection,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 4 | Episode 21
2052,The Wildebeest Implementation,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 4 | Episode 22
2053,The Engagement Reaction,The Big Bang Theory,8.2,20,Howard Murray,Season 4 | Episode 23
2054,The Roommate Transmogrification,The Big Bang Theory,8.7,22,Mark Cendrowski,Season 4 | Episode 24
2055,The Skank Reflex Analysis,The Big Bang Theory,8.2,22,Mark Cendrowski,Season 5 | Episode 1
2056,The Infestation Hypothesis,The Big Bang Theory,8.2,20,Mark Cendrowski,Season 5 | Episode 2
2057,The Pulled Groin Extrapolation,The Big Bang Theory,7.9,20,Mark Cendrowski,Season 5 | Episode 3
2058,The Wiggly Finger Catalyst,The Big Bang Theory,8.0,20,Mark Cendrowski,Season 5 | Episode 4
2059,The Russian Rocket Reaction,The Big Bang Theory,8.2,22,Mark Cendrowski,Season 5 | Episode 5
2060,The Rhinitis Revelation,The Big Bang Theory,7.7,22,Howard Murray,Season 5 | Episode 6
2061,The Good Guy Fluctuation,The Big Bang Theory,8.7,20,Mark Cendrowski,Season 5 | Episode 7
2062,The Isolation Permutation,The Big Bang Theory,7.9,21,Mark Cendrowski,Season 5 | Episode 8
2063,The Ornithophobia Diffusion,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 5 | Episode 9
2064,The Flaming Spittoon Acquisition,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 5 | Episode 10
2065,The Speckerman Recurrence,The Big Bang Theory,7.5,20,Anthony Rich,Season 5 | Episode 11
2066,The Shiny Trinket Maneuver,The Big Bang Theory,7.9,21,Mark Cendrowski,Season 5 | Episode 12
2067,The Recombination Hypothesis,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 5 | Episode 13
2068,The Beta Test Initiation,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 5 | Episode 14
2069,The Friendship Contraction,The Big Bang Theory,7.9,21,Mark Cendrowski,Season 5 | Episode 15
2070,The Vacation Solution,The Big Bang Theory,7.8,22,Mark Cendrowski,Season 5 | Episode 16
2071,The Rothman Disintegration,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 5 | Episode 17
2072,The Werewolf Transformation,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 5 | Episode 18
2073,The Weekend Vortex,The Big Bang Theory,8.3,20,Mark Cendrowski,Season 5 | Episode 19
2074,The Transporter Malfunction,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 5 | Episode 20
2075,The Hawking Excitation,The Big Bang Theory,8.7,19,Mark Cendrowski,Season 5 | Episode 21
2076,The Stag Convergence,The Big Bang Theory,7.9,21,Peter Chakos,Season 5 | Episode 22
2077,The Launch Acceleration,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 5 | Episode 23
2078,The Countdown Reflection,The Big Bang Theory,8.6,21,Mark Cendrowski,Season 5 | Episode 24
2079,The Date Night Variable,The Big Bang Theory,7.8,21,Mark Cendrowski,Season 6 | Episode 1
2080,The Decoupling Fluctuation,The Big Bang Theory,7.8,22,Mark Cendrowski,Season 6 | Episode 2
2081,The Higgs Boson Observation,The Big Bang Theory,8.1,19,Mark Cendrowski,Season 6 | Episode 3
2082,The Re-Entry Minimization,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 6 | Episode 4
2083,The Holographic Excitation,The Big Bang Theory,8.2,21,Mark Cendrowski,Season 6 | Episode 5
2084,The Extract Obliteration,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 6 | Episode 6
2085,The Habitation Configuration,The Big Bang Theory,7.9,21,Mark Cendrowski,Season 6 | Episode 7
2086,The 43 Peculiarity,The Big Bang Theory,8.6,21,Mark Cendrowski,Season 6 | Episode 8
2087,The Parking Spot Escalation,The Big Bang Theory,8.4,20,Peter Chakos,Season 6 | Episode 9
2088,The Fish Guts Displacement,The Big Bang Theory,8.2,22,Mark Cendrowski,Season 6 | Episode 10
2089,The Santa Simulation,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 6 | Episode 11
2090,The Egg Salad Equivalency,The Big Bang Theory,8.6,21,Mark Cendrowski,Season 6 | Episode 12
2091,The Bakersfield Expedition,The Big Bang Theory,8.5,21,Mark Cendrowski,Season 6 | Episode 13
2092,The Cooper/Kripke Inversion,The Big Bang Theory,8.0,20,Mark Cendrowski,Season 6 | Episode 14
2093,The Spoiler Alert Segmentation,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 6 | Episode 15
2094,The Tangible Affection Proof,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 6 | Episode 16
2095,The Monster Isolation,The Big Bang Theory,7.8,20,Mark Cendrowski,Season 6 | Episode 17
2096,The Contractual Obligation Implementation,The Big Bang Theory,7.9,20,Mark Cendrowski,Season 6 | Episode 18
2097,The Closet Reconfiguration,The Big Bang Theory,8.2,20,Anthony Rich,Season 6 | Episode 19
2098,The Tenure Turbulence,The Big Bang Theory,8.1,20,Mark Cendrowski,Season 6 | Episode 20
2099,The Closure Alternative,The Big Bang Theory,8.1,20,Mark Cendrowski,Season 6 | Episode 21
2100,The Proton Resurgence,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 6 | Episode 22
2101,The Love Spell Potential,The Big Bang Theory,8.2,21,Anthony Rich,Season 6 | Episode 23
2102,The Bon Voyage Reaction,The Big Bang Theory,7.9,20,Mark Cendrowski,Season 6 | Episode 24
2103,The Hofstadter Insufficiency,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 7 | Episode 1
2104,The Deception Verification,The Big Bang Theory,8.2,21,Mark Cendrowski,Season 7 | Episode 2
2105,The Scavenger Vortex,The Big Bang Theory,8.8,21,Mark Cendrowski,Season 7 | Episode 3
2106,The Raiders Minimization,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 7 | Episode 4
2107,The Workplace Proximity,The Big Bang Theory,7.9,19,Mark Cendrowski,Season 7 | Episode 5
2108,The Romance Resonance,The Big Bang Theory,8.5,21,Mark Cendrowski,Season 7 | Episode 6
2109,The Proton Displacement,The Big Bang Theory,7.9,20,Mark Cendrowski,Season 7 | Episode 7
2110,The Itchy Brain Simulation,The Big Bang Theory,7.7,21,Mark Cendrowski,Season 7 | Episode 8
2111,The Thanksgiving Decoupling,The Big Bang Theory,8.9,20,Mark Cendrowski,Season 7 | Episode 9
2112,The Discovery Dissipation,The Big Bang Theory,7.8,20,Mark Cendrowski,Season 7 | Episode 10
2113,The Cooper Extraction,The Big Bang Theory,8.3,21,Mark Cendrowski,Season 7 | Episode 11
2114,The Hesitation Ramification,The Big Bang Theory,7.6,21,Mark Cendrowski,Season 7 | Episode 12
2115,The Occupation Recalibration,The Big Bang Theory,7.8,21,Mark Cendrowski,Season 7 | Episode 13
2116,The Convention Conundrum,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 7 | Episode 14
2117,The Locomotive Manipulation,The Big Bang Theory,8.4,20,Mark Cendrowski,Season 7 | Episode 15
2118,The Table Polarization,The Big Bang Theory,7.8,20,Gay Linvill,Season 7 | Episode 16
2119,The Friendship Turbulence,The Big Bang Theory,7.7,20,Mark Cendrowski,Season 7 | Episode 17
2120,The Mommy Observation,The Big Bang Theory,7.6,21,Mark Cendrowski,Season 7 | Episode 18
2121,The Indecision Amalgamation,The Big Bang Theory,8.3,19,Anthony Rich,Season 7 | Episode 19
2122,The Relationship Diremption,The Big Bang Theory,8.2,21,Mark Cendrowski,Season 7 | Episode 20
2123,The Anything Can Happen Recurrence,The Big Bang Theory,7.7,19,Mark Cendrowski,Season 7 | Episode 21
2124,The Proton Transmogrification,The Big Bang Theory,7.9,21,Mark Cendrowski,Season 7 | Episode 22
2125,The Gorilla Dissolution,The Big Bang Theory,8.0,19,Peter Chakos,Season 7 | Episode 23
2126,The Status Quo Combustion,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 7 | Episode 24
2127,The Locomotion Interruption,The Big Bang Theory,7.2,21,Mark Cendrowski,Season 8 | Episode 1
2128,The Junior Professor Solution,The Big Bang Theory,7.7,20,Mark Cendrowski,Season 8 | Episode 2
2129,The First Pitch Insufficiency,The Big Bang Theory,7.1,19,Mark Cendrowski,Season 8 | Episode 3
2130,The Hook-up Reverberation,The Big Bang Theory,7.3,19,Mark Cendrowski,Season 8 | Episode 4
2131,The Focus Attenuation,The Big Bang Theory,7.6,19,Mark Cendrowski,Season 8 | Episode 5
2132,The Expedition Approximation,The Big Bang Theory,7.3,21,Mark Cendrowski,Season 8 | Episode 6
2133,The Misinterpretation Agitation,The Big Bang Theory,7.8,20,Mark Cendrowski,Season 8 | Episode 7
2134,The Prom Equivalency,The Big Bang Theory,8.1,20,Mark Cendrowski,Season 8 | Episode 8
2135,The Septum Deviation,The Big Bang Theory,7.6,20,Anthony Rich,Season 8 | Episode 9
2136,The Champagne Reflection,The Big Bang Theory,7.0,19,Mark Cendrowski,Season 8 | Episode 10
2137,The Clean Room Infiltration,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 8 | Episode 11
2138,The Space Probe Disintegration,The Big Bang Theory,7.4,20,Mark Cendrowski,Season 8 | Episode 12
2139,The Anxiety Optimization,The Big Bang Theory,7.5,20,Mark Cendrowski,Season 8 | Episode 13
2140,The Troll Manifestation,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 8 | Episode 14
2141,The Comic Book Store Regeneration,The Big Bang Theory,8.2,20,Mark Cendrowski,Season 8 | Episode 15
2142,The Intimacy Acceleration,The Big Bang Theory,8.0,20,Mark Cendrowski,Season 8 | Episode 16
2143,The Colonization Application,The Big Bang Theory,7.7,20,Mark Cendrowski,Season 8 | Episode 17
2144,The Leftover Thermalization,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 8 | Episode 18
2145,The Skywalker Incursion,The Big Bang Theory,7.7,21,Mark Cendrowski,Season 8 | Episode 19
2146,The Fortification Implementation,The Big Bang Theory,7.6,20,Mark Cendrowski,Season 8 | Episode 20
2147,The Communication Deterioration,The Big Bang Theory,7.2,19,Mark Cendrowski,Season 8 | Episode 21
2148,The Graduation Transmission,The Big Bang Theory,7.4,19,Anthony Rich,Season 8 | Episode 22
2149,The Maternal Combustion,The Big Bang Theory,7.6,19,Anthony Rich,Season 8 | Episode 23
2150,The Commitment Determination,The Big Bang Theory,8.1,20,Mark Cendrowski,Season 8 | Episode 24
2151,The Matrimonial Momentum,The Big Bang Theory,6.8,20,Mark Cendrowski,Season 9 | Episode 1
2152,The Separation Oscillation,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 9 | Episode 2
2153,The Bachelor Party Corrosion,The Big Bang Theory,7.8,20,Mark Cendrowski,Season 9 | Episode 3
2154,The 2003 Approximation,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 9 | Episode 4
2155,The Perspiration Implementation,The Big Bang Theory,7.6,19,Mark Cendrowski,Season 9 | Episode 5
2156,The Helium Insufficiency,The Big Bang Theory,7.3,19,Mark Cendrowski,Season 9 | Episode 6
2157,The Spock Resonance,The Big Bang Theory,8.1,19,Nicole Lorre,Season 9 | Episode 7
2158,The Mystery Date Observation,The Big Bang Theory,8.1,19,Mark Cendrowski,Season 9 | Episode 8
2159,The Platonic Permutation,The Big Bang Theory,8.0,21,Mark Cendrowski,Season 9 | Episode 9
2160,The Earworm Reverberation,The Big Bang Theory,8.4,21,Mark Cendrowski,Season 9 | Episode 10
2161,The Opening Night Excitation,The Big Bang Theory,9.1,21,Mark Cendrowski,Season 9 | Episode 11
2162,The Sales Call Sublimation,The Big Bang Theory,7.5,18,Mark Cendrowski,Season 9 | Episode 12
2163,The Empathy Optimization,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 9 | Episode 13
2164,The Meemaw Materialization,The Big Bang Theory,7.6,19,Mark Cendrowski,Season 9 | Episode 14
2165,The Valentino Submergence,The Big Bang Theory,7.6,19,Mark Cendrowski,Season 9 | Episode 15
2166,The Positive Negative Reaction,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 9 | Episode 16
2167,The Celebration Experimentation,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 9 | Episode 17
2168,The Application Deterioration,The Big Bang Theory,7.6,19,Mark Cendrowski,Season 9 | Episode 18
2169,The Solder Excursion Diversion,The Big Bang Theory,7.5,20,Mark Cendrowski,Season 9 | Episode 19
2170,The Big Bear Precipitation,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 9 | Episode 20
2171,The Viewing Party Combustion,The Big Bang Theory,7.6,18,Mark Cendrowski,Season 9 | Episode 21
2172,The Fermentation Bifurcation,The Big Bang Theory,7.5,20,Nicole Lorre,Season 9 | Episode 22
2173,The Line Substitution Solution,The Big Bang Theory,7.5,18,Anthony Rich,Season 9 | Episode 23
2174,The Convergence Convergence,The Big Bang Theory,7.8,20,Mark Cendrowski,Season 9 | Episode 24
2175,The Conjugal Conjecture,The Big Bang Theory,7.8,21,Mark Cendrowski,Season 10 | Episode 1
2176,The Military Miniaturization,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 10 | Episode 2
2177,The Dependence Transcendence,The Big Bang Theory,7.4,20,Mark Cendrowski,Season 10 | Episode 3
2178,The Cohabitation Experimentation,The Big Bang Theory,8.1,20,Mark Cendrowski,Season 10 | Episode 4
2179,The Hot Tub Contamination,The Big Bang Theory,7.5,20,Mark Cendrowski,Season 10 | Episode 5
2180,The Fetal Kick Catalyst,The Big Bang Theory,7.5,18,Mark Cendrowski,Season 10 | Episode 6
2181,The Veracity Elasticity,The Big Bang Theory,8.1,21,Mark Cendrowski,Season 10 | Episode 7
2182,The Brain Bowl Incubation,The Big Bang Theory,8.2,18,Mark Cendrowski,Season 10 | Episode 8
2183,The Geology Elevation,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 10 | Episode 9
2184,The Property Division Collision,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 10 | Episode 10
2185,The Birthday Synchronicity,The Big Bang Theory,7.6,20,Nicole Lorre,Season 10 | Episode 11
2186,The Holiday Summation,The Big Bang Theory,7.4,21,Mark Cendrowski,Season 10 | Episode 12
2187,The Romance Recalibration,The Big Bang Theory,7.0,19,Mark Cendrowski,Season 10 | Episode 13
2188,The Emotion Detection Automation,The Big Bang Theory,7.3,19,Mark Cendrowski,Season 10 | Episode 14
2189,The Locomotion Reverberation,The Big Bang Theory,7.3,20,Mark Cendrowski,Season 10 | Episode 15
2190,The Allowance Evaporation,The Big Bang Theory,7.2,18,Mark Cendrowski,Season 10 | Episode 16
2191,The Comic-Con Conundrum,The Big Bang Theory,7.6,19,Mark Cendrowski,Season 10 | Episode 17
2192,The Escape Hatch Identification,The Big Bang Theory,7.2,20,Mark Cendrowski,Season 10 | Episode 18
2193,The Collaboration Fluctuation,The Big Bang Theory,7.1,18,Mark Cendrowski,Season 10 | Episode 19
2194,The Recollection Dissipation,The Big Bang Theory,7.2,19,Mark Cendrowski,Season 10 | Episode 20
2195,The Separation Agitation,The Big Bang Theory,7.3,20,Mark Cendrowski,Season 10 | Episode 21
2196,The Cognition Regeneration,The Big Bang Theory,6.8,20,Mark Cendrowski,Season 10 | Episode 22
2197,The Gyroscopic Collapse,The Big Bang Theory,7.2,19,Anthony Rich,Season 10 | Episode 23
2198,The Long Distance Dissonance,The Big Bang Theory,8.6,19,Mark Cendrowski,Season 10 | Episode 24
2199,The Proposal Proposal,The Big Bang Theory,7.6,21,Mark Cendrowski,Season 11 | Episode 1
2200,The Retraction Reaction,The Big Bang Theory,7.4,21,Mark Cendrowski,Season 11 | Episode 2
2201,The Relaxation Integration,The Big Bang Theory,7.1,20,Mark Cendrowski,Season 11 | Episode 3
2202,The Explosion Implosion,The Big Bang Theory,7.2,21,Mark Cendrowski,Season 11 | Episode 4
2203,The Collaboration Contamination,The Big Bang Theory,7.4,19,Nicole Lorre,Season 11 | Episode 5
2204,The Proton Regeneration,The Big Bang Theory,7.3,21,Mark Cendrowski,Season 11 | Episode 6
2205,The Geology Methodology,The Big Bang Theory,7.5,19,Mark Cendrowski,Season 11 | Episode 7
2206,The Tesla Recoil,The Big Bang Theory,7.3,19,Anthony Rich,Season 11 | Episode 8
2207,The Bitcoin Entanglement,The Big Bang Theory,7.8,19,Mark Cendrowski,Season 11 | Episode 9
2208,The Confidence Erosion,The Big Bang Theory,7.5,21,Mark Cendrowski,Season 11 | Episode 10
2209,The Celebration Reverberation,The Big Bang Theory,7.2,19,Mark Cendrowski,Season 11 | Episode 11
2210,The Matrimonial Metric,The Big Bang Theory,7.5,20,Mark Cendrowski,Season 11 | Episode 12
2211,The Solo Oscillation,The Big Bang Theory,7.3,21,Mark Cendrowski,Season 11 | Episode 13
2212,The Separation Triangulation,The Big Bang Theory,7.4,19,Mark Cendrowski,Season 11 | Episode 14
2213,The Novelization Correlation,The Big Bang Theory,7.6,21,Mark Cendrowski,Season 11 | Episode 15
2214,The Neonatal Nomenclature,The Big Bang Theory,7.2,19,Gay Linvill,Season 11 | Episode 16
2215,The Athenaeum Allocation,The Big Bang Theory,6.9,20,Mark Cendrowski,Season 11 | Episode 17
2216,The Gates Excitation,The Big Bang Theory,7.3,20,Mark Cendrowski,Season 11 | Episode 18
2217,The Tenant Disassociation,The Big Bang Theory,7.3,21,Mark Cendrowski,Season 11 | Episode 19
2218,The Reclusive Potential,The Big Bang Theory,7.2,21,Mark Cendrowski,Season 11 | Episode 20
2219,The Comet Polarization,The Big Bang Theory,7.6,21,Mark Cendrowski,Season 11 | Episode 21
2220,The Monetary Insufficiency,The Big Bang Theory,7.4,19,Nicole Lorre,Season 11 | Episode 22
2221,The Sibling Realignment,The Big Bang Theory,7.8,20,Mark Cendrowski,Season 11 | Episode 23
2222,The Bow Tie Asymmetry,The Big Bang Theory,9.0,22,Mark Cendrowski,Season 11 | Episode 24
2223,The Conjugal Configuration,The Big Bang Theory,7.2,20,Mark Cendrowski,Season 12 | Episode 1
2224,The Wedding Gift Wormhole,The Big Bang Theory,7.6,21,Mark Cendrowski,Season 12 | Episode 2
2225,The Procreation Calculation,The Big Bang Theory,7.3,20,Mark Cendrowski,Season 12 | Episode 3
2226,The Tam Turbulence,The Big Bang Theory,7.1,19,Mark Cendrowski,Season 12 | Episode 4
2227,The Planetarium Collision,The Big Bang Theory,6.8,19,Mark Cendrowski,Season 12 | Episode 5
2228,The Imitation Perturbation,The Big Bang Theory,8.3,19,Mark Cendrowski,Season 12 | Episode 6
2229,The Grant Allocation Derivation,The Big Bang Theory,7.4,19,Mark Cendrowski,Season 12 | Episode 7
2230,The Consummation Deviation,The Big Bang Theory,7.4,22,Mark Cendrowski,Season 12 | Episode 8
2231,The Citation Negation,The Big Bang Theory,7.3,20,Kristy Cecil,Season 12 | Episode 9
2232,The VCR Illumination,The Big Bang Theory,7.5,20,Mark Cendrowski,Season 12 | Episode 10
2233,The Paintball Scattering,The Big Bang Theory,7.3,19,Mark Cendrowski,Season 12 | Episode 11
2234,The Propagation Proposition,The Big Bang Theory,7.2,20,Mark Cendrowski,Season 12 | Episode 12
2235,The Confirmation Polarization,The Big Bang Theory,7.0,20,Mark Cendrowski,Season 12 | Episode 13
2236,The Meteorite Manifestation,The Big Bang Theory,NA,22,Mark Cendrowski,Season 12 | Episode 14
2237,The Donation Oscillation,The Big Bang Theory,NA,22,Johnny Galecki,Season 12 | Episode 15
2238,Episode #12.16,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 16
2239,Episode #12.17,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 17
2240,Episode #12.18,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 18
2241,Episode #12.19,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 19
2242,Episode #12.20,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 20
2243,Episode #12.21,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 21
2244,Episode #12.22,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 22
2245,Episode #12.23,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 23
2246,Episode #12.24,The Big Bang Theory,NA,22,Kaley Cuoco,Season 12 | Episode 24
2247,Pilot,Lucifer,8.9,44,Len Wiseman,Season 1 | Episode 1
2248,"Lucifer, Stay. Good Devil.",Lucifer,8.4,44,Nathan Hope,Season 1 | Episode 2
2249,The Would-Be Prince of Darkness,Lucifer,8.4,43,Louis Shaw Milito,Season 1 | Episode 3
2250,Manly Whatnots,Lucifer,8.7,42,Matt Earl Beesley,Season 1 | Episode 4
2251,Sweet Kicks,Lucifer,8.3,43,Tim Matheson,Season 1 | Episode 5
2252,Favorite Son,Lucifer,9.0,43,David Paymer,Season 1 | Episode 6
2253,Wingman,Lucifer,8.8,43,Eriq La Salle,Season 1 | Episode 7
2254,"Et Tu, Doctor?",Lucifer,8.5,43,Eagle Egilsson,Season 1 | Episode 8
2255,A Priest Walks Into a Bar,Lucifer,9.2,42,David Frazee,Season 1 | Episode 9
2256,Pops,Lucifer,8.6,44,Tara Nicole Weyr,Season 1 | Episode 10
2257,St. Lucifer,Lucifer,8.9,44,Mairzee Almas,Season 1 | Episode 11
2258,#TeamLucifer,Lucifer,9.2,44,Greg Beeman,Season 1 | Episode 12
2259,Take Me Back to Hell,Lucifer,9.3,43,Nathan Hope,Season 1 | Episode 13
